Chooz-B2,reactordetails.aspx?id=27570&rid=82904061-EEBD-482B-BD1B-5A3F79798C9E, PWR, Operating,46.4566,0.654464
Civaux-1,reactordetails.aspx?id=27570&rid=5437A91B-FD43-460B-9509-5BDAC7F354DD, PWR, Operating,46.4566,0.655464
Civaux-2,reactordetails.aspx?id=27570&rid=27B5011E-B8D0-44A6-8D98-4F477E539959, PWR, Operating,40.1717,-88.8335
Clinton-1,reactordetails.aspx?id=27570&rid=C949A035-F8A6-4349-A278-564C75C5A9C6, BWR, ,39.2162,-1.05132
Cofrentes,reactordetails.aspx?id=27570&rid=816AD270-A492-461B-A6F2-D4B8B32F4405, BWR, Operating,46.4713,-119.333
Columbia (WNP-2),reactordetails.aspx?id=27570&rid=2ECC52DC-ED55-4985-A7A1-0C4CD1F76D12, BWR, Operating,32.3007,-97.7865
Comanche Peak-1,reactordetails.aspx?id=27570&rid=C1F43393-F66F-4174-96CA-063C2CAAF858, PWR, Operating,32.3007,-97.7855
Comanche Peak-2,reactordetails.aspx?id=27570&rid=7A66C7B3-6EEF-49B4-8AAA-09B71268DB72, PWR, Operating,40.3609,-95.6434
Cooper,reactordetails.aspx?id=27570&rid=E4492A5C-ED99-4DDF-81F5-39184F3D116B, BWR, Operating,44.6336,4.75652
Cruas-1,reactordetails.aspx?id=27570&rid=CB2564ED-B6D7-4F39-A469-EFF0C55596BA, PWR, Operating,44.6331,4.75652
Cruas-2,reactordetails.aspx?id=27570&rid=BCFD3E82-8EC3-48E9-9686-BD4909D6DEF7, PWR, Operating,44.6326,4.75652
Cruas-3,reactordetails.aspx?id=27570&rid=A2DC64EF-2D15-4ECF-A7B2-5B1CF1DC8A28, PWR, Operating,44.6321,4.75652
Cruas-4,reactordetails.aspx?id=27570&rid=F58AA96F-1FF7-4E6C-802C-13B12A9E335B, PWR, Operating,28.9659,-82.6971
Crystal River-3,reactordetails.aspx?id=27570&rid=9EB27663-7596-4EBB-BB22-7CF1D9563BC8, PWR, Operating,47.7323,2.51311
Dampierre-1,reactordetails.aspx?id=27570&rid=BE748AED-8494-4C8B-915C-34CF3BBFC8FC, PWR, Operating,47.7323,2.51411
Dampierre-2,reactordetails.aspx?id=27570&rid=BCD13E6C-8BE4-4126-9C45-B02362E666B3, PWR, Operating,47.7323,2.51511
Dampierre-3,reactordetails.aspx?id=27570&rid=C135DB50-DF4A-440A-AEF0-871C780DE11B, PWR, Operating,47.7323,2.51611
Dampierre-4,reactordetails.aspx?id=27570&rid=EBBEC69C-AD6D-4092-863B-57AB30C68F70, PWR, Operating,43.867,-78.7244
Darlington-1,reactordetails.aspx?id=27570&rid=4764F51F-6E44-4005-852B-586A8AB4B133, PHWR/CANDU, Operating,43.8665,-78.7244
Darlington-2,reactordetails.aspx?id=27570&rid=AD3B7C9C-DBB5-4A47-89D8-A3EE832CFF09, PHWR/CANDU, Operating,43.866,-78.7244
Darlington-3,reactordetails.aspx?id=27570&rid=5CB303DE-4729-4A5D-A5D3-FE3C36603F77, PHWR/CANDU, Operating,43.8655,-78.7244
Darlington-4,reactordetails.aspx?id=27570&rid=D9322866-4BD8-4732-9071-7722D988AEF1, PHWR/CANDU, Operating,41.5969,-83.0919
Davis Besse-1,reactordetails.aspx?id=27570&rid=E798EB29-72EE-4733-877F-B678558F26E4, PWR, Operating,22.5989,114.544
Daya Bay 1 (Guangdong-1),reactordetails.aspx?id=27570&rid=E824CB3B-7769-492E-88AC-F2D69A0215CD, PWR, Operating,22.5986,114.544
Daya Bay 2 (Guangdong-2),reactordetails.aspx?id=27570&rid=45B22FBE-377E-42F0-ACFD-0B86B758C36D, PWR, Operating,35.2122,-120.854
Diablo Canyon-1,reactordetails.aspx?id=27570&rid=143452C6-C0FE-47C8-A555-E62A5B4D222C, PWR, Operating,35.2122,-120.853
Diablo Canyon-2,reactordetails.aspx?id=27570&rid=406750AB-5704-46CE-8A9F-9522A326DD46, PWR, Operating,51.3227,4.25868
Doel-1,reactordetails.aspx?id=27570&rid=2C9934C7-9AD6-469C-B18B-B1B8DBCF5415, PWR, Operating,51.3227,4.25919
Doel-2,reactordetails.aspx?id=27570&rid=530EED3C-D24E-419B-AEB0-153A15BEF2D9, PWR, Operating,51.3249,4.25658
Doel-3,reactordetails.aspx?id=27570&rid=52621FAB-91AB-485A-B271-29E02EC3F621, PWR, Operating,51.3249,4.25708
Doel-4,reactordetails.aspx?id=27570&rid=CACF0C2A-725C-43E7-B7B7-1ACCF0221178, PWR, Operating,41.9752,-86.5641
Donald Cook-1,reactordetails.aspx?id=27570&rid=F8DF6805-E166-4FA2-8E52-31D328F973BA, PWR, Operating,41.9752,-86.5631
Donald Cook-2,reactordetails.aspx?id=27570&rid=190B5589-81E1-4ED6-9C3D-36481EB6F692, PWR, Operating,44.3261,-81.6008
